tiros_min,tiros_max,motivacion,lambda
0,1,baja,0.2
0,1,media,0.4
0,1,alta,0.7
2,3,baja,0.5
2,3,media,0.9
2,3,alta,1.3
4,5,baja,0.8
4,5,media,1.4
4,5,alta,1.9
6,7,baja,1.1
6,7,media,1.8
6,7,alta,2.4
8,9,baja,1.5
8,9,media,2.3
8,9,alta,3.0
10,11,baja,1.7
10,11,media,2.5
10,11,alta,3.2
12,13,baja,1.9
12,13,media,2.7
12,13,alta,3.5
14,15,baja,2.1
14,15,media,2.9
14,15,alta,3.7
16,17,baja,2.3
16,17,media,3.1
16,17,alta,3.9
18,19,baja,2.5
18,19,media,3.3
18,19,alta,4.1
20,99,baja,2.7
20,99,media,3.6
20,99,alta,4.4
